class,correlation,contrast,homogeneity,energy,dissimilarity
1,0.9752160233565322,2.4376811344931673,0.8588885584122689,0.3824744545093735,0.6027926603085055
1,0.9869845571926787,2.3348039089217787,0.8651413095358346,0.3194501565311049,0.5765306073696954
1,0.9840289879841357,2.9459518083110927,0.8318973855402407,0.3009528067937859,0.7215356669523731
1,0.9724656659256914,2.8780244025726955,0.8345349811442466,0.35167810518288145,0.7084524174676479
1,0.9926654874659625,2.0194605213997896,0.8872876584539497,0.2943471442026166,0.48443186954207673
1,0.9917615647353182,2.2975302165539615,0.8723948186604574,0.2869284117085834,0.5491792391801853
1,0.9917680800748443,2.2663414009549667,0.873815876472738,0.28901170460496484,0.5427503681216671
1,0.981446528135711,3.174776809816069,0.818822296180586,0.29170159159092957,0.7775570481085571
1,0.9914832763785062,2.4056055780585153,0.8653493230458843,0.2788853603773306,0.5787895032053579
1,0.9915423464257827,2.268711139395086,0.872717798309114,0.2895432033540111,0.5466451479127667
1,0.9845239713599196,2.2586817947710958,0.8687834532092047,0.3330638749927548,0.5598392400019492
1,0.9594300034315973,2.955644802962938,0.8294999575004256,0.36917448274764064,0.729118829960756
1,0.9891297309296914,2.0492580712049064,0.8813046148973604,0.3214719647183397,0.5069023409766952
1,0.9856893903894814,2.1994841996733965,0.8725379044637447,0.33081320865092556,0.5441989662971596
1,0.9569544083952832,2.701211337669572,0.8434887640451352,0.3888080088427123,0.6683770827182047
1,0.9735664930039132,3.0435850320440236,0.8248764845708568,0.3220091746292946,0.7496208896265656
1,0.9912846945114072,2.1802052308153907,0.8750160535831247,0.2935934999288603,0.5356105755311128
1,0.9923827319973373,1.9094129259676513,0.8900766444679977,0.2990232156275971,0.4704351241102731
1,0.981455010811726,2.5074890423485634,0.8556121234606885,0.3367207366867434,0.6178901874673326
1,0.975544051859515,2.9999665561107243,0.827545577291788,0.313261857034353,0.7383952093061922
1,0.9694178252417037,3.4508742710426565,0.8038570449747902,0.3148477057805345,0.8428892080391466
1,0.9803366874275677,2.903388248199524,0.8342843376817798,0.32707354336008354,0.711154683721139
1,0.9901530360399443,2.109587025299825,0.8779935449770621,0.30561405585121776,0.5213653897789741
1,0.9835617770828909,3.2928662273095157,0.8128794551297002,0.2817700224689698,0.8041822061309337
1,0.9855521773597928,2.792805550538972,0.8397129868331271,0.29928401419551215,0.6866202465483517
1,0.9811972600814948,2.6928484542712146,0.8463124946881146,0.32666802502789344,0.6591924351833537
1,0.9799846590306498,3.065493646138808,0.8249750912934334,0.3085688208123276,0.75093189008618
1,0.9846269989219935,2.896202589703678,0.8341912986201362,0.3025777800672755,0.710856555336737
1,0.9837789866761527,3.2244648738830937,0.8180185046646312,0.29250032844291973,0.7833896623982708
1,0.9830721289229823,2.62178687833782,0.8492029395999753,0.3153982703683086,0.6452874215621354
1,0.9885354846118661,2.8089044832966894,0.8401537076810807,0.2876270419485429,0.6863259403227242
